"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Feb 19 00:13:27 GMT 2023","Sun Feb 19 00:13:27 GMT 2023","1","Complete Suite","Chrome Tests","com.template.project.web.tests.featureflow.CheckBoxTest","com.template.project.web.tests.featureflow.CheckBoxTest","setUpBrowser","setUpBrowser",""
"skipped","Sun Feb 19 00:13:27 GMT 2023","Sun Feb 19 00:13:27 GMT 2023","1","Complete Suite","Chrome Tests","com.template.project.web.tests.featureflow.BasicAuthTest","com.template.project.web.tests.featureflow.BasicAuthTest","navigateToEncodedURL","navigateToEncodedURL","This is to validate the authorization via encoded URL without chrome dev tool protocol"
"broken","Sun Feb 19 00:13:28 GMT 2023","Sun Feb 19 00:13:28 GMT 2023","0","Complete Suite","Chrome Tests","com.template.project.web.tests.featureflow.KeyPressTest","com.template.project.web.tests.featureflow.KeyPressTest","setUpBrowser","setUpBrowser",""
"broken","Sun Feb 19 00:13:28 GMT 2023","Sun Feb 19 00:13:28 GMT 2023","0","Complete Suite","Chrome Tests","com.template.project.web.tests.featureflow.CheckBoxTest","com.template.project.web.tests.featureflow.CheckBoxTest","setup","setup",""
"broken","Sun Feb 19 00:13:27 GMT 2023","Sun Feb 19 00:13:27 GMT 2023","0","Complete Suite","Chrome Tests","com.template.project.web.tests.featureflow.BasicAuthTest","com.template.project.web.tests.featureflow.BasicAuthTest","setUpBrowser","setUpBrowser",""
"skipped","Sun Feb 19 00:13:28 GMT 2023","Sun Feb 19 00:13:28 GMT 2023","0","Complete Suite","Chrome Tests","com.template.project.web.tests.featureflow.KeyPressTest","com.template.project.web.tests.featureflow.KeyPressTest","keyPressTest","keyPressTest",""
"skipped","Sun Feb 19 00:13:28 GMT 2023","Sun Feb 19 00:13:28 GMT 2023","1","Complete Suite","Chrome Tests","com.template.project.web.tests.featureflow.KeyPressTest","com.template.project.web.tests.featureflow.KeyPressTest","keyPressTest","keyPressTest",""
"skipped","Sun Feb 19 00:13:28 GMT 2023","Sun Feb 19 00:13:28 GMT 2023","0","Complete Suite","Chrome Tests","com.template.project.web.tests.featureflow.CheckBoxTest","com.template.project.web.tests.featureflow.CheckBoxTest","checkboxTest","checkboxTest","This is a test for handling checkboxes"
"unknown","Sun Feb 19 00:13:25 GMT 2023","Sun Feb 19 00:13:25 GMT 2023","1","Complete Suite","Chrome Tests","com.template.project.web.tests.featureflow.BasicAuthTest","com.template.project.web.tests.featureflow.BasicAuthTest","basicAuthUsingBiDiApi","basicAuthUsingBiDiApi","This is to validate the authorization via Bi-Directional protocol"
"broken","Sun Feb 19 00:13:28 GMT 2023","Sun Feb 19 00:13:28 GMT 2023","1","Complete Suite","Chrome Tests","com.template.project.web.tests.featureflow.KeyPressTest","com.template.project.web.tests.featureflow.KeyPressTest","setup","setup",""
"unknown","Sun Feb 19 00:13:25 GMT 2023","Sun Feb 19 00:13:25 GMT 2023","0","Complete Suite","Chrome Tests","com.template.project.web.tests.featureflow.BasicAuthTest","com.template.project.web.tests.featureflow.BasicAuthTest","basicAuthUsingChromeDevTools","basicAuthUsingChromeDevTools","This is to validate the authorization via Chrome Dev Tools protocol"
