"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Fri Feb 17 04:38:53 GMT 2023","Fri Feb 17 04:38:53 GMT 2023","0","Complete Suite","Chrome Tests","com.template.project.web.tests.featureflow.KeyPressTest","com.template.project.web.tests.featureflow.KeyPressTest","keyPressTest","keyPressTest",""
"broken","Fri Feb 17 04:38:53 GMT 2023","Fri Feb 17 04:38:53 GMT 2023","0","Complete Suite","Chrome Tests","com.template.project.web.tests.featureflow.KeyPressTest","com.template.project.web.tests.featureflow.KeyPressTest","setup","setup",""
"broken","Fri Feb 17 04:38:52 GMT 2023","Fri Feb 17 04:38:52 GMT 2023","1","Complete Suite","Chrome Tests","com.template.project.web.tests.featureflow.CheckBoxTest","com.template.project.web.tests.featureflow.CheckBoxTest","setUpBrowser","setUpBrowser",""
"broken","Fri Feb 17 04:38:53 GMT 2023","Fri Feb 17 04:38:53 GMT 2023","0","Complete Suite","Chrome Tests","com.template.project.web.tests.featureflow.KeyPressTest","com.template.project.web.tests.featureflow.KeyPressTest","setUpBrowser","setUpBrowser",""
"skipped","Fri Feb 17 04:38:53 GMT 2023","Fri Feb 17 04:38:53 GMT 2023","0","Complete Suite","Chrome Tests","com.template.project.web.tests.featureflow.CheckBoxTest","com.template.project.web.tests.featureflow.CheckBoxTest","checkboxTest","checkboxTest","This is a test for handling checkboxes"
"broken","Fri Feb 17 04:38:52 GMT 2023","Fri Feb 17 04:38:52 GMT 2023","2","Complete Suite","Chrome Tests","com.template.project.web.tests.featureflow.BasicAuthTest","com.template.project.web.tests.featureflow.BasicAuthTest","setUpBrowser","setUpBrowser",""
"skipped","Fri Feb 17 04:38:52 GMT 2023","Fri Feb 17 04:38:52 GMT 2023","1","Complete Suite","Chrome Tests","com.template.project.web.tests.featureflow.BasicAuthTest","com.template.project.web.tests.featureflow.BasicAuthTest","navigateToEncodedURL","navigateToEncodedURL","This is to validate the authorization via encoded URL without chrome dev tool protocol"
"unknown","Fri Feb 17 04:38:49 GMT 2023","Fri Feb 17 04:38:49 GMT 2023","2","Complete Suite","Chrome Tests","com.template.project.web.tests.featureflow.BasicAuthTest","com.template.project.web.tests.featureflow.BasicAuthTest","basicAuthUsingBiDiApi","basicAuthUsingBiDiApi","This is to validate the authorization via Bi-Directional protocol"
"broken","Fri Feb 17 04:38:53 GMT 2023","Fri Feb 17 04:38:53 GMT 2023","0","Complete Suite","Chrome Tests","com.template.project.web.tests.featureflow.CheckBoxTest","com.template.project.web.tests.featureflow.CheckBoxTest","setup","setup",""
"skipped","Fri Feb 17 04:38:53 GMT 2023","Fri Feb 17 04:38:53 GMT 2023","0","Complete Suite","Chrome Tests","com.template.project.web.tests.featureflow.KeyPressTest","com.template.project.web.tests.featureflow.KeyPressTest","keyPressTest","keyPressTest",""
"unknown","Fri Feb 17 04:38:49 GMT 2023","Fri Feb 17 04:38:49 GMT 2023","0","Complete Suite","Chrome Tests","com.template.project.web.tests.featureflow.BasicAuthTest","com.template.project.web.tests.featureflow.BasicAuthTest","basicAuthUsingChromeDevTools","basicAuthUsingChromeDevTools","This is to validate the authorization via Chrome Dev Tools protocol"
