"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Feb 19 00:00:08 GMT 2023","Sun Feb 19 00:00:08 GMT 2023","0","Complete Suite","Chrome Tests","com.template.project.web.tests.featureflow.CheckBoxTest","com.template.project.web.tests.featureflow.CheckBoxTest","setUpBrowser","setUpBrowser",""
"unknown","Sun Feb 19 00:00:06 GMT 2023","Sun Feb 19 00:00:06 GMT 2023","2","Complete Suite","Chrome Tests","com.template.project.web.tests.featureflow.BasicAuthTest","com.template.project.web.tests.featureflow.BasicAuthTest","basicAuthUsingChromeDevTools","basicAuthUsingChromeDevTools","This is to validate the authorization via Chrome Dev Tools protocol"
"skipped","Sun Feb 19 00:00:08 GMT 2023","Sun Feb 19 00:00:08 GMT 2023","1","Complete Suite","Chrome Tests","com.template.project.web.tests.featureflow.CheckBoxTest","com.template.project.web.tests.featureflow.CheckBoxTest","checkboxTest","checkboxTest","This is a test for handling checkboxes"
"broken","Sun Feb 19 00:00:08 GMT 2023","Sun Feb 19 00:00:08 GMT 2023","0","Complete Suite","Chrome Tests","com.template.project.web.tests.featureflow.KeyPressTest","com.template.project.web.tests.featureflow.KeyPressTest","setup","setup",""
"skipped","Sun Feb 19 00:00:08 GMT 2023","Sun Feb 19 00:00:08 GMT 2023","0","Complete Suite","Chrome Tests","com.template.project.web.tests.featureflow.KeyPressTest","com.template.project.web.tests.featureflow.KeyPressTest","keyPressTest","keyPressTest",""
"skipped","Sun Feb 19 00:00:08 GMT 2023","Sun Feb 19 00:00:08 GMT 2023","0","Complete Suite","Chrome Tests","com.template.project.web.tests.featureflow.KeyPressTest","com.template.project.web.tests.featureflow.KeyPressTest","keyPressTest","keyPressTest",""
"broken","Sun Feb 19 00:00:08 GMT 2023","Sun Feb 19 00:00:08 GMT 2023","0","Complete Suite","Chrome Tests","com.template.project.web.tests.featureflow.KeyPressTest","com.template.project.web.tests.featureflow.KeyPressTest","setUpBrowser","setUpBrowser",""
"skipped","Sun Feb 19 00:00:08 GMT 2023","Sun Feb 19 00:00:08 GMT 2023","2","Complete Suite","Chrome Tests","com.template.project.web.tests.featureflow.BasicAuthTest","com.template.project.web.tests.featureflow.BasicAuthTest","navigateToEncodedURL","navigateToEncodedURL","This is to validate the authorization via encoded URL without chrome dev tool protocol"
"unknown","Sun Feb 19 00:00:07 GMT 2023","Sun Feb 19 00:00:07 GMT 2023","0","Complete Suite","Chrome Tests","com.template.project.web.tests.featureflow.BasicAuthTest","com.template.project.web.tests.featureflow.BasicAuthTest","basicAuthUsingBiDiApi","basicAuthUsingBiDiApi","This is to validate the authorization via Bi-Directional protocol"
"broken","Sun Feb 19 00:00:08 GMT 2023","Sun Feb 19 00:00:08 GMT 2023","0","Complete Suite","Chrome Tests","com.template.project.web.tests.featureflow.BasicAuthTest","com.template.project.web.tests.featureflow.BasicAuthTest","setUpBrowser","setUpBrowser",""
"broken","Sun Feb 19 00:00:08 GMT 2023","Sun Feb 19 00:00:08 GMT 2023","1","Complete Suite","Chrome Tests","com.template.project.web.tests.featureflow.CheckBoxTest","com.template.project.web.tests.featureflow.CheckBoxTest","setup","setup",""
